fight_id,detail_level,has_round_stats,has_sig_strikes,source,notes
81dda1bdb960,full,1,1,ufcstats,
0cf00bd2ff0f,full,1,1,ufcstats,
44e08d017ce8,full,1,1,ufcstats,
a83b16261fdf,full,1,1,ufcstats,
3b2ea904854a,full,1,1,ufcstats,
32c24c77ee5a,full,1,1,ufcstats,
ec0d988e5120,full,1,1,ufcstats,
63c1ac0dd3e4,full,1,1,ufcstats,
446ab2e467c5,full,1,1,ufcstats,
c8ad43f8b339,full,1,1,ufcstats,
8bf80b97ee95,full,1,1,ufcstats,
04fb1f390698,full,1,1,ufcstats,
2090ced3848a,full,1,1,ufcstats,
00d5f2572acf,full,1,1,ufcstats,
5814e3cd72e4,full,1,1,ufcstats,
2b2ddf130a8d,full,1,1,ufcstats,
76e368d6b52a,full,1,1,ufcstats,
12d28b3deba3,full,1,1,ufcstats,
16a9c5e3b03f,full,1,1,ufcstats,
07938f655454,full,1,1,ufcstats,
aaf35cb8626c,full,1,1,ufcstats,
caa679022f45,full,1,1,ufcstats,
7e110c7b3ad1,full,1,1,ufcstats,
ac37ed2b8d85,full,1,1,ufcstats,
d11008c4af8a,full,1,1,ufcstats,
60c86b131474,full,1,1,ufcstats,
e04c0199c243,full,1,1,ufcstats,
724ca4ea7094,full,1,1,ufcstats,
5e97e5eb40f4,full,1,1,ufcstats,
cc177fd85a41,full,1,1,ufcstats,
e0132322c1b4,full,1,1,ufcstats,
3e069839b22b,full,1,1,ufcstats,
a770c02fe78c,full,1,1,ufcstats,
b0f513aea92e,full,1,1,ufcstats,
3f5e4dba9bf1,full,1,1,ufcstats,
385bf0f63297,full,1,1,ufcstats,
c86b6595b3d6,full,1,1,ufcstats,
7bef4a57a6bc,full,1,1,ufcstats,
e68e76e9f2e6,full,1,1,ufcstats,
070ff619c9b1,full,1,1,ufcstats,
e5ca352893b2,full,1,1,ufcstats,
ad9d093d19ad,full,1,1,ufcstats,
b4c543ce2531,full,1,1,ufcstats,
029fd3d85781,full,1,1,ufcstats,
2258f6a54163,full,1,1,ufcstats,
c92059f0fcc9,full,1,1,ufcstats,
b0ae4394a529,full,1,1,ufcstats,
9f5d1937da44,full,1,1,ufcstats,
a3542fc56d05,full,1,1,ufcstats,
8c1afad8b05a,full,1,1,ufcstats,
ef637238023e,full,1,1,ufcstats,
a1e218ffb05a,full,1,1,ufcstats,
3ff53babac42,full,1,1,ufcstats,
926adcc7ddf3,full,1,1,ufcstats,
671fc6677432,full,1,1,ufcstats,
f14f8df0639b,full,1,1,ufcstats,
d7784144d490,full,1,1,ufcstats,
88a21987c13e,full,1,1,ufcstats,
9a35661c9097,full,1,1,ufcstats,
b3f1758ee212,full,1,1,ufcstats,
30bdebe1c1db,full,1,1,ufcstats,
d4f69d3bd244,full,1,1,ufcstats,
b2d22df38bd0,full,1,1,ufcstats,
77e3a3dfa127,full,1,1,ufcstats,
7e0cbcae14a9,full,1,1,ufcstats,
4b176b1ab774,full,1,1,ufcstats,
6891cabb5f67,full,1,1,ufcstats,
b1618a3225e4,full,1,1,ufcstats,
12b13cff9638,full,1,1,ufcstats,
615371bd9cc6,full,1,1,ufcstats,
518e68e77c56,full,1,1,ufcstats,
eb3153538acc,full,1,1,ufcstats,
53c9be156b62,full,1,1,ufcstats,
74a67d2d2f5d,full,1,1,ufcstats,
a027681085d2,full,1,1,ufcstats,
d82502f90029,full,1,1,ufcstats,
28984ad4adb1,full,1,1,ufcstats,
d0d6dfb3446e,full,1,1,ufcstats,
e62ac55306ed,full,1,1,ufcstats,
b210ec5d354c,full,1,1,ufcstats,
54184e01e5b7,full,1,1,ufcstats,
ffd2588c26de,full,1,1,ufcstats,
cd1a9e4ceb64,full,1,1,ufcstats,
90e258305b07,full,1,1,ufcstats,
8731edbff8e3,full,1,1,ufcstats,
036f97842389,full,1,1,ufcstats,
3893b38556cd,full,1,1,ufcstats,
b9d5da8fe50c,full,1,1,ufcstats,
36ed6a3d793b,full,1,1,ufcstats,
f4bf4feae2ba,full,1,1,ufcstats,
e445ae42f60d,full,1,1,ufcstats,
86373daf9e6e,full,1,1,ufcstats,
1902223b3902,full,1,1,ufcstats,
ad2f5a510602,full,1,1,ufcstats,
7b9ef9d426c3,full,1,1,ufcstats,
e13d766a17d4,full,1,1,ufcstats,
8a3c7a732f73,full,1,1,ufcstats,
226fe0ad6d33,full,1,1,ufcstats,
a02a5c509e7f,full,1,1,ufcstats,
cfdd617f306e,full,1,1,ufcstats,
a37c63484129,full,1,1,ufcstats,
9501553744b3,full,1,1,ufcstats,
5623cc804e40,full,1,1,ufcstats,
9ce4c719890c,full,1,1,ufcstats,
34ec102ebb53,full,1,1,ufcstats,
08b214cb3317,full,1,1,ufcstats,
1e3804b2ca0c,full,1,1,ufcstats,
de501dee85f7,full,1,1,ufcstats,
29179a4342a3,full,1,1,ufcstats,
2fe82617b4d1,full,1,1,ufcstats,
085045ac6d2b,full,1,1,ufcstats,
5370749cfd0e,full,1,1,ufcstats,
fa5ea87873e9,full,1,1,ufcstats,
03aff45c56eb,full,1,1,ufcstats,
832256804d4b,full,1,1,ufcstats,
8ad22a755883,full,1,1,ufcstats,
d9a084b3601c,full,1,1,ufcstats,
effeef910272,full,1,1,ufcstats,
f68911d44f64,full,1,1,ufcstats,
81cebfbd0acb,full,1,1,ufcstats,
1211de580964,full,1,1,ufcstats,
