event_id,name,date,date_parsed,location,org_id,url,created_at
c0f1ad0dc1b9,UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",2026-03-14,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/babc6b5745335f18,2026-03-16 21:20:25
42713ade2247,UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",2026-03-07,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/15ec018d144710db,2026-03-16 21:20:25
972193307843,UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",2026-02-28,"Mexico City, Distrito Federal, Mexico",ufc,http://www.ufcstats.com/event-details/0cfbbfa0ba6d9855,2026-03-16 21:20:25
12654acafcd7,UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",2026-02-21,"Houston, Texas, USA",ufc,http://www.ufcstats.com/event-details/79ab17db3b40831a,2026-03-16 21:20:25
766b4b382704,UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",2026-02-07,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/c337c3c85b1871e0,2026-03-16 21:20:25
366be1a2b43f,UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",2026-01-31,"Sydney, New South Wales, Australia",ufc,http://www.ufcstats.com/event-details/30ad2050273d016a,2026-03-16 21:20:25
4e589a3d04bc,UFC 324: Gaethje vs. Pimblett,"January 24, 2026",2026-01-24,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/00e11b5c8b7bfeeb,2026-03-16 21:20:25
09d868df50e2,UFC Fight Night: Royval vs. Kape,"December 13, 2025",2025-12-13,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/bc0f994de0521926,2026-03-16 21:20:25
c2f4ec370a76,UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",2025-12-06,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/bd92cf5da5413d2a,2026-03-16 21:20:25
77b6ac05ab3d,UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",2025-11-22,"Doha, Qatar",ufc,http://www.ufcstats.com/event-details/92c96df8bdab5fea,2026-03-16 21:20:25
488320995508,UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",2025-11-15,"New York City, New York, USA",ufc,http://www.ufcstats.com/event-details/8db1b36dde268ef6,2026-03-16 21:20:25
54641305c157,UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",2025-11-08,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/6436029b50a9c255,2026-03-16 21:20:25
a009a4f84ed4,UFC Fight Night: Garcia vs. Onama,"November 01, 2025",2025-11-01,"Las Vegas, Nevada, USA",ufc,http://www.ufcstats.com/event-details/0e2c2daf11b5d8f2,2026-03-16 21:20:25
6bc719521751,UFC 321: Aspinall vs. Gane,"October 25, 2025",2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",ufc,http://www.ufcstats.com/event-details/7956f026e2672c47,2026-03-16 21:20:25
