feature,importance,selected
diff_pre_ufc_wr,0.07059391,True
diff_total_pro_fights,0.015452921,True
diff_pre_ufc_finish_rate,0.014221688,True
diff_win_rate,0.013391974,True
diff_age,0.012424078,True
a_pre_ufc_finish_rate,0.011870213,True
b_pre_ufc_ko_rate,0.011260877,True
diff_career_td_landed_pm,0.009920136,True
b_pre_ufc_sub_loss_rate,0.009568106,True
a_is_switch,0.009341288,True
b_abs_streak,0.009300345,True
b_pre_ufc_dec_rate,0.00903985,True
diff_career_sig_absorbed_pm,0.008960562,True
a_pre_ufc_wr,0.008617297,True
diff_pre_ufc_ko_rate,0.008453697,True
a_win_rate,0.008104156,True
b_losses,0.00809919,True
a_dec_rate,0.007972808,True
a_reach,0.007851567,True
b_career_kd_pm,0.007842463,True
b_pre_ufc_finish_rate,0.007538535,True
diff_career_sig_landed_pm,0.0074779894,True
diff_experience,0.007477575,True
diff_pre_ufc_dec_rate,0.0074608237,True
diff_org_level,0.0074081128,True
diff_strike_efficiency,0.0073866723,True
diff_sub_rate,0.0073747733,True
a_height,0.007368469,True
a_pre_ufc_ko_loss_rate,0.007365499,True
b_recent_win_rate,0.0072885896,True
diff_finish_rate,0.0072862236,True
a_total_pro_fights,0.0072174636,True
a_recent_sig_landed_pm,0.0071809296,True
diff_ko_loss_rate,0.00714154,True
a_strike_efficiency,0.0071198335,True
diff_career_td_def,0.007095954,True
b_experience,0.0070811,True
b_reach,0.0069644037,True
a_sub_loss_rate,0.006935236,True
diff_td_efficiency,0.006896834,True
a_is_southpaw,0.0068761217,True
a_career_sig_attempted_pm,0.0068420894,True
b_days_inactive,0.0068316893,True
b_career_sig_attempted_pm,0.006792333,True
a_career_sig_def,0.0067713065,True
diff_avg_opp_wr,0.006720464,True
a_age,0.0067110537,True
b_finish_rate,0.006700518,True
a_finish_rate,0.0066550616,True
diff_career_sig_def,0.0066518197,True
a_losses,0.0066428306,True
b_pre_ufc_streak,0.0066343574,True
b_strike_efficiency,0.0066234833,True
a_pre_ufc_streak,0.0066194045,True
a_pre_ufc_dec_rate,0.006601491,True
b_pre_ufc_sub_rate,0.006575984,True
b_is_switch,0.0065635596,True
a_recent_kd_pm,0.0065570204,True
diff_grappling_score,0.0065380735,True
b_stability,0.00650224,True
b_avg_opp_wr,0.0064953556,True
diff_pre_ufc_fights,0.0064704907,True
diff_reach,0.0064475434,True
diff_dec_rate,0.0064353608,True
a_days_inactive,0.0064152116,True
b_weight,0.0063753873,True
b_pct_ground,0.0063450485,True
b_career_sig_def,0.0063214866,True
a_career_sub_avg,0.0063130674,True
b_win_rate,0.006297662,True
b_age,0.006297472,True
b_career_td_attempted_pm,0.0062972135,True
a_stability,0.0062934207,True
a_career_sig_absorbed_pm,0.006282882,True
b_dec_loss_rate,0.0062367637,True
a_pct_leg,0.006199442,True
b_career_td_def,0.0061986633,True
diff_pre_ufc_ko_loss_rate,0.0061920774,True
b_sub_loss_rate,0.006186167,True
b_streak,0.006184657,True
diff_cardio_ratio,0.0061824545,True
a_pre_ufc_sub_rate,0.006180786,True
diff_pre_ufc_streak,0.0061705494,True
b_grappling_score,0.006160964,True
diff_sub_loss_rate,0.0061588967,True
diff_pre_ufc_sub_loss_rate,0.006155777,True
a_avg_opp_wr,0.006154159,True
b_pct_distance,0.0061519663,True
a_experience,0.006139051,True
b_career_sig_absorbed_pm,0.0060992376,True
a_pct_ground,0.0060681733,True
a_ko_loss_rate,0.0060670897,True
b_total_pro_fights,0.0060231313,True
b_height,0.005981541,True
b_td_efficiency,0.005968269,True
a_pct_body,0.005965433,True
b_pct_leg,0.005945431,True
diff_recent_win_rate,0.005911959,True
b_career_sub_avg,0.0059103165,True
b_ko_rate,0.0059032612,True
diff_ko_rate,0.00586146,True
b_pct_body,0.0058383304,True
b_career_sig_landed_pm,0.005820617,True
b_pre_ufc_ko_loss_rate,0.00577745,True
a_career_td_landed_pm,0.0057655172,True
diff_career_kd_pm,0.0057385927,True
b_cardio_ratio,0.005711322,True
diff_height,0.005692405,True
a_pct_clinch,0.0056583467,True
a_td_efficiency,0.005645647,True
a_pre_ufc_ko_rate,0.0056369016,True
b_avg_finish_round,0.005628626,True
b_pct_clinch,0.0056272224,True
a_ko_rate,0.005620227,True
diff_career_sub_avg,0.005596693,True
b_pct_head,0.00553171,True
a_pct_distance,0.0055301953,True
a_pre_ufc_fights,0.005524603,True
b_pre_ufc_wr,0.0055060266,True
a_career_td_def,0.0054940023,True
a_avg_finish_round,0.005456484,True
a_grappling_score,0.005421482,True
a_pre_ufc_sub_loss_rate,0.0053723715,True
b_career_td_landed_pm,0.0053635454,True
a_cardio_ratio,0.005329696,True
a_streak,0.0052909404,True
a_dec_loss_rate,0.0052474076,True
b_dec_rate,0.005196444,True
b_sub_rate,0.0051255417,True
a_career_td_attempted_pm,0.0050980984,True
a_pct_head,0.0050915433,True
b_ko_loss_rate,0.005041833,True
b_is_southpaw,0.0049802116,True
b_pre_ufc_fights,0.0049785716,True
a_sub_rate,0.0048211915,True
a_recent_win_rate,0.004716814,True
a_is_orthodox,0.0046470845,True
a_abs_streak,0.004194405,True
diff_pre_ufc_sub_rate,0.0041661863,True
a_weight,0.0029057886,True
b_is_orthodox,0.0,False
a_org_level,0.0,False
b_org_level,0.0,False
